Middle-aged, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, >50K
Young, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, White, Female,Full-time, Puerto-Rico, <=50K
Senior, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,Over-time, United-States, <=50K
Senior, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,Full-time, United-States, <=50K
Senior, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,Over-time, United-States, >50K
Senior, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,Part-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Male,Full-time, United-States, <=50K
Old, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, 11th, Never-married, Handlers-cleaners, Other-relative, Black, Male,Full-time, United-States, <=50K
Young, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Female,Full-time, United-States, <=50K
Senior, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, <=50K
Senior, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,Part-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,Part-time, United-States, <=50K
Young, Local-gov, 12th, Never-married, Protective-serv, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,Too-much, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Federal-gov, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,Full-time, United-States, <=50K
Senior, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Full-time, United-States, >50K
Young, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,Over-time, United-States, <=50K
Young, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,Too-much, United-States, >50K
Middle-aged, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,Full-time, United-States, <=50K
Senior, Local-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,Over-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
Young, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,Part-time, United-States, <=50K
Senior, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Full-time, India, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,Part-time, United-States, >50K
Middle-aged, Private, 9th, Never-married, Machine-op-inspct, Unmarried, Black, Female,Full-time, Haiti, <=50K
Senior, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,Part-time, United-States, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child, Black, Male,Full-time, United-States, <=50K
Young, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Full-time, United-States, <=50K
Young, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,Part-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Too-much, United-States, <=50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, 11th, Divorced, Machine-op-inspct, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Young, Private, 10th, Never-married, Sales, Unmarried, Black, Female,Full-time, United-States, <=50K
Middle-aged, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Too-much, United-States, >50K
Senior, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Over-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Part-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, 1st-4th, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female,Full-time, Dominican-Republic, <=50K
Middle-aged, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, 1st-4th, Divorced, Craft-repair, Unmarried, White, Male,Full-time, Portugal, <=50K
Senior, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, HS-grad, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,Full-time, Philippines, <=50K
Old, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,Over-time, United-States, >50K
Middle-aged, Private, Assoc-acdm, Divorced, Handlers-cleaners, Unmarried, White, Female,Part-time, United-States, <=50K
Young, Private, 10th, Never-married, Craft-repair, Own-child, Black, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, Assoc-voc, Divorced, Tech-support, Unmarried, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,Over-time, United-States, >50K
Young, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, 11th, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,Part-time, United-States, <=50K
Young, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Old, Private, Prof-school, Widowed, Adm-clerical, Not-in-family, Black, Female,Part-time, United-States, <=50K
Middle-aged, Private, 5th-6th, Never-married, Transport-moving, Not-in-family, White, Male,Full-time, Mexico, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Full-time, United-States, >50K
Young, Private, Masters, Never-married, Sales, Not-in-family, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,Over-time, United-States, <=50K
Young, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,Too-much, United-States, <=50K
Senior, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,Over-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Federal-gov, 11th, Never-married, Tech-support, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Full-time, United-States, >50K
Senior, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
Senior, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Young, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,Full-time, United-States, >50K
Middle-aged, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, <=50K
Middle-aged, Self-emp-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Over-time, United-States, <=50K
Senior, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, >50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Senior, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, White, Female,Part-time, Nicaragua, <=50K
Senior, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,Over-time, Dominican-Republic, <=50K
Middle-aged, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,Full-time, United-States, <=50K
Middle-aged, Private, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, Iran, >50K
Young, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,Full-time, Vietnam, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,Full-time, Hong, <=50K
Young, Private, HS-grad, Never-married, Sales, Own-child, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Federal-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, Columbia, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Female,Full-time, United-States, <=50K
Senior, State-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,Over-time, United-States, >50K
Middle-aged, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Full-time, United-States, >50K
Old, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Too-much, United-States, >50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,Too-much, Mexico, <=50K
Middle-aged, Self-emp-not-inc, Some-college, Separated, Other-service, Own-child, White, Female,Full-time, Cuba, <=50K
Senior, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,Full-time, United-States, >50K
Senior, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, 1st-4th, Never-married, Sales, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Over-time, United-States, <=50K
Young, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Male,Part-time, Mexico, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,Over-time, United-States, <=50K
Senior, Private, Some-college, Widowed, Tech-support, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, El-Salvador, <=50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Senior, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,Full-time, United-States, >50K
Old, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Part-time, United-States, <=50K
Middle-aged, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,Full-time, United-States, <=50K
Senior, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, <=50K
Senior, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,Part-time, United-States, <=50K
Senior, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Too-much, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Divorced, Other-service, Own-child, White, Male,Part-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, 10th, Divorced, Sales, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Senior, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, 11th, Never-married, Other-service, Own-child, White, Male,Part-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, White, Male,Over-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,Full-time, United-States, >50K
Young, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,Full-time, United-States, <=50K
Old, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,Part-time, United-States, >50K
Senior, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
Young, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Full-time, Mexico, <=50K
Middle-aged, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,Over-time, United-States, >50K
Middle-aged, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Full-time, United-States, >50K
Middle-aged, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Full-time, United-States, >50K
Middle-aged, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Part-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Other-relative, Black, Female,Part-time, United-States, <=50K
Senior, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, >50K
Young, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-inc, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Full-time, United-States, >50K
Senior, Private, HS-grad, Divorced, Sales, Other-relative, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Senior, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,Part-time, United-States, <=50K
Senior, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, United-States, <=50K
Young, Private, 9th, Never-married, Machine-op-inspct, Own-child, White, Female,Part-time, Nicaragua, <=50K
Senior, Private, Assoc-voc, Divorced, Sales, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, Greece, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Too-much, United-States, >50K
Old, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Full-time, Mexico, <=50K
Middle-aged, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Separated, Exec-managerial, Not-in-family, Black, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, >50K
Young, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,Over-time, Canada, >50K
Young, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Local-gov, Some-college, Never-married, Protective-serv, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Over-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Part-time, United-States, >50K
Middle-aged, Private, Bachelors, Never-married, Sales, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,Too-much, United-States, <=50K
Middle-aged, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,Over-time, Greece, <=50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
